Actual,Predicted,Count
start_run,stop,34
stop,start_run,32
accel,stop,29
accel,start_run,29
jump_takeoff,stop,28
sprint_mid,stop,24
landing,start_run,22
landing,stop,20
stop,jump_takeoff,20
jump_takeoff,start_run,19
sprint_mid,jump_takeoff,18
start_run,jump_takeoff,17
start_run,accel,17
sprint_mid,start_run,16
jump_takeoff,accel,14
stop,accel,14
start_run,landing,13
jump_takeoff,sprint_mid,13
landing,jump_takeoff,12
landing,accel,12
stop,landing,12
accel,landing,11
start_run,sprint_mid,10
jump_takeoff,landing,10
sprint_mid,accel,9
sprint_mid,landing,7
stop,sprint_mid,7
landing,sprint_mid,6
accel,jump_takeoff,4
accel,sprint_mid,4
